DateTime,Altamaha_Discharge,Sapelo_Precipitation,MarshLanding_Precipitation,Sapelo_AirTemperature,MarshLanding_AirTemperature,MarshLanding_SolarRadiation,MarshLanding_RelativeHumidity,MarshLanding_WindDirection,MarshLanding_WindSpeed
1958-05-19,331110.0,0.0,,23.9,,,,,
1958-05-20,322620.0,20.83,,22.8,,,,,
1958-05-21,322620.0,0.0,,24.4,,,,,
1958-05-22,331110.0,0.0,,22.2,,,,,
1958-05-23,356580.0,0.0,,23.9,,,,,
1958-05-24,387710.0,0.0,,24.4,,,,,
1958-05-25,404690.0,0.0,,25.0,,,,,
1958-05-26,424500.0,0.0,,25.0,,,,,
1958-05-27,404690.0,0.0,,23.9,,,,,
1958-05-28,387710.0,1.27,,23.3,,,,,
1958-05-29,356580.0,0.0,,26.1,,,,,
1958-05-30,322620.0,0.0,,25.0,,,,,
1958-05-31,288660.0,0.0,,25.0,,,,,
1958-06-01,272246.0,0.0,,23.9,,,,,
1958-06-02,242248.0,2.03,,25.6,,,,,
1958-06-03,228381.0,0.25,,25.0,,,,,
1958-06-04,219608.0,0.0,,25.6,,,,,
1958-06-05,219608.0,0.0,,22.2,,,,,
1958-06-06,228381.0,0.0,,26.1,,,,,
1958-06-07,237437.0,0.0,,27.2,,,,,
1958-06-08,237437.0,0.25,,25.6,,,,,
1958-06-09,228381.0,0.0,,25.6,,,,,
1958-06-10,223853.0,0.0,,26.1,,,,,
1958-06-11,219608.0,0.0,,28.9,,,,,
1958-06-12,211118.0,0.0,,28.3,,,,,
1958-06-13,203194.0,0.0,,27.8,,,,,
1958-06-14,195553.0,0.0,,30.0,,,,,
1958-06-15,184516.0,0.0,,30.0,,,,,
1958-06-16,170932.0,1.27,,28.9,,,,,
1958-06-17,160744.0,0.0,,28.9,,,,,
1958-06-18,153952.0,5.59,,27.8,,,,,
1958-06-19,150556.0,42.67,,26.1,,,,,
1958-06-20,150556.0,30.73,,26.95,,,,,
1958-06-21,167536.0,0.0,,27.8,,,,,
1958-06-22,195553.0,15.75,,28.3,,,,,
1958-06-23,223853.0,11.18,,24.4,,,,,
1958-06-24,242248.0,5.08,,25.6,,,,,
1958-06-25,256964.0,0.0,,26.1,,,,,
1958-06-26,272246.0,0.51,,26.1,,,,,
1958-06-27,277340.0,0.0,,28.3,,,,,
1958-06-28,277340.0,0.0,,25.0,,,,,
1958-06-29,272246.0,0.0,,25.0,,,,,
1958-06-30,262058.0,0.0,,25.6,,,,,
1958-07-01,247059.0,0.0,,25.0,,,,,
1958-07-02,228381.0,0.0,,25.6,,,,,
1958-07-03,219608.0,22.61,,25.0,,,,,
1958-07-04,211118.0,16.26,,25.0,,,,,
1958-07-05,211118.0,4.83,,26.7,,,,,
1958-07-06,228381.0,0.0,,27.8,,,,,
1958-07-07,251870.0,0.0,,27.8,,,,,
1958-07-08,267152.0,0.0,,27.8,,,,,
1958-07-09,277340.0,0.0,,28.9,,,,,
1958-07-10,272246.0,0.0,,27.8,,,,,
1958-07-11,262058.0,0.0,,27.8,,,,,
1958-07-12,247059.0,0.0,,28.3,,,,,
1958-07-13,247059.0,0.76,,27.2,,,,,
1958-07-14,256964.0,0.0,,26.1,,,,,
1958-07-15,272246.0,0.0,,27.2,,,,,
1958-07-16,294320.0,0.0,,27.8,,,,,
1958-07-17,311300.0,0.0,,27.2,,,,,
1958-07-18,322620.0,0.0,,27.75,,,,,
1958-07-19,342430.0,0.51,,28.3,,,,,
1958-07-20,370730.0,4.83,,29.4,,,,,
1958-07-21,387710.0,0.0,,28.3,,,,,
1958-07-22,387710.0,0.0,,30.0,,,,,
1958-07-23,404690.0,0.0,,28.9,,,,,
1958-07-24,387710.0,14.48,,28.3,,,,,
1958-07-25,370730.0,0.0,,28.3,,,,,
1958-07-26,356580.0,0.0,,26.7,,,,,
1958-07-27,331110.0,0.0,,28.3,,,,,
1958-07-28,322620.0,0.76,,28.9,,,,,
1958-07-29,302810.0,0.76,,29.4,,,,,
1958-07-30,294320.0,0.0,,28.3,,,,,
1958-07-31,283000.0,0.0,,29.4,,,,,
1958-08-01,267152.0,8.13,,30.6,,,,,
1958-08-02,256964.0,15.24,,30.0,,,,,
1958-08-03,242248.0,3.56,,29.4,,,,,
1958-08-04,223853.0,0.0,,28.9,,,,,
1958-08-05,211118.0,0.0,,28.3,,,,,
1958-08-06,199232.0,0.0,,26.1,,,,,
1958-08-07,188195.0,0.0,,27.8,,,,,
1958-08-08,177724.0,0.0,,27.2,,,,,
1958-08-09,167536.0,0.0,,27.2,,,,,
1958-08-10,157348.0,0.76,,29.4,,,,,
1958-08-11,150556.0,0.0,,28.9,,,,,
1958-08-12,144047.0,0.0,,26.7,,,,,
1958-08-13,150556.0,0.0,,26.7,,,,,
1958-08-14,153952.0,0.0,,27.8,,,,,
1958-08-15,147160.0,0.0,,27.2,,,,,
1958-08-16,140934.0,6.86,,31.1,,,,,
1958-08-17,137821.0,0.0,,30.6,,,,,
1958-08-18,134708.0,4.83,,25.6,,,,,
1958-08-19,134708.0,0.0,,25.6,,,,,
1958-08-20,134708.0,0.0,,26.7,,,,,
1958-08-21,140934.0,7.11,,27.2,,,,,
1958-08-22,144047.0,0.0,,28.3,,,,,
1958-08-23,147160.0,0.0,,28.3,,,,,
1958-08-24,153952.0,0.0,,28.3,,,,,
1958-08-25,153952.0,18.03,,29.4,,,,,
1958-08-26,147160.0,0.0,,27.8,,,,,
1958-08-27,144047.0,4.06,,22.8,,,,,
1958-08-28,137821.0,0.51,,24.4,,,,,
1958-08-29,131595.0,0.0,,25.6,,,,,
1958-08-30,125369.0,0.0,,25.6,,,,,
1958-08-31,122256.0,0.0,,26.1,,,,,
1958-09-01,116030.0,0.0,,28.3,,,,,
1958-09-02,116030.0,0.0,,26.1,,,,,
1958-09-03,119143.0,0.0,,26.7,,,,,
1958-09-04,116030.0,0.51,,27.2,,,,,
1958-09-05,110370.0,1.78,,26.1,,,,,
1958-09-06,107540.0,0.0,,26.1,,,,,
1958-09-07,107540.0,0.0,,26.1,,,,,
1958-09-08,107540.0,7.62,,27.2,,,,,
1958-09-09,104710.0,0.0,,26.1,,,,,
1958-09-10,101880.0,0.0,,25.0,,,,,
1958-09-11,96220.0,0.0,,27.2,,,,,
1958-09-12,96220.0,2.29,,24.4,,,,,
1958-09-13,96220.0,12.7,,22.8,,,,,
1958-09-14,93390.0,28.19,,25.0,,,,,
1958-09-15,93390.0,7.87,,26.1,,,,,
1958-09-16,99050.0,0.0,,26.7,,,,,
1958-09-17,99050.0,0.0,,28.3,,,,,
1958-09-18,93390.0,0.0,,27.5,,,,,
1958-09-19,88296.0,0.0,,26.7,,,,,
1958-09-20,88296.0,0.51,,27.2,,,,,
1958-09-21,88296.0,0.0,,27.8,,,,,
1958-09-22,88296.0,0.0,,27.2,,,,,
1958-09-23,93390.0,0.0,,26.1,,,,,
1958-09-24,90843.0,92.96,,25.6,,,,,
1958-09-25,88296.0,0.0,,25.6,,,,,
1958-09-26,88296.0,0.0,,25.6,,,,,
1958-09-27,85749.0,0.0,,28.9,,,,,
1958-09-28,83202.0,0.0,,26.7,,,,,
