param#0 	 param#1 	 param#2 	 dist 	  wgt 
2.983031 	0.490389 	5.222811 	0.603884 	0.044729 	
12.276662 	0.878800 	5.240341 	0.635122 	0.000000 	
7.605942 	0.351840 	5.209425 	0.654137 	0.023635 	
6.269861 	1.428717 	5.205744 	0.629786 	0.020401 	
6.548014 	3.626651 	5.289333 	0.653513 	0.316291 	
4.433457 	0.423167 	5.152865 	0.556437 	0.013617 	
8.814070 	0.529402 	5.104436 	0.605255 	0.007888 	
10.298022 	1.648959 	5.178937 	0.612356 	0.000000 	
4.779150 	0.456616 	5.229498 	0.600673 	0.031851 	
2.802134 	0.774629 	5.262943 	0.587226 	0.079550 	
-2.848220 	-0.812737 	5.278411 	-1.000000 	0.000000 	
5.927756 	1.008537 	5.262712 	0.608741 	0.051829 	
9.447984 	0.175649 	5.219679 	0.590524 	0.054952 	
-1.457618 	-0.258295 	5.188135 	-1.000000 	0.000000 	
6.559782 	0.927581 	5.168152 	0.595951 	0.021134 	
6.165651 	1.189707 	5.279756 	0.605478 	0.066162 	
12.646921 	0.405619 	5.321178 	0.618191 	0.000000 	
9.737400 	0.328830 	5.197801 	0.629965 	0.049710 	
5.268543 	0.337608 	5.263821 	0.633232 	0.060847 	
4.188759 	0.270076 	5.328284 	0.625120 	0.270517 	
2.801030 	0.188606 	5.252289 	0.630993 	0.072668 	
6.144653 	0.503517 	5.273305 	0.601625 	0.066036 	
1.892248 	0.535090 	5.148240 	0.593269 	0.027721 	
4.125420 	1.864908 	5.255795 	0.613204 	0.053016 	
9.045418 	0.589314 	5.150026 	0.633075 	0.030741 	
7.459734 	0.318877 	5.245453 	0.591929 	0.048736 	
-1.246871 	-1.393849 	5.387863 	-1.049724 	0.000000 	
8.963846 	1.201358 	5.173259 	0.588097 	0.032250 	
5.519939 	0.553308 	5.203018 	0.591843 	0.027174 	
9.355080 	1.104708 	5.258751 	0.627225 	0.066507 	
-1.276408 	-0.639669 	5.217147 	-1.000000 	0.000000 	
4.588557 	0.703176 	5.081517 	0.579144 	0.013632 	
8.077189 	0.576262 	5.047477 	0.559261 	0.009958 	
8.939651 	0.347438 	5.227481 	0.577498 	0.059378 	
6.872707 	0.083835 	5.153889 	0.559115 	0.022891 	
9.284578 	0.420587 	5.112683 	0.561392 	0.014823 	
4.703963 	0.581116 	5.305609 	0.624559 	0.183278 	
6.119245 	0.788910 	5.246067 	0.583063 	0.064050 	
4.337363 	0.106444 	5.060302 	0.545744 	0.016289 	
0.915303 	0.141933 	5.122376 	0.622907 	0.038963 	
7.461421 	0.578326 	5.223809 	0.613563 	0.045534 	
5.497622 	0.456692 	5.292420 	0.606678 	0.137679 	
13.516645 	1.070307 	5.074774 	0.575234 	0.000000 	
9.036841 	0.428411 	5.182940 	0.610052 	0.030065 	
8.379929 	0.499937 	5.176809 	0.573950 	0.025582 	
5.868812 	0.211313 	5.103662 	0.535779 	0.015051 	
6.094711 	0.083878 	5.278423 	0.619613 	0.123076 	
2.461561 	0.042481 	5.221249 	0.569911 	0.070837 	
11.010383 	0.449002 	5.242183 	0.605038 	0.000000 	
7.154439 	0.432961 	5.284004 	0.618857 	0.128916 	
8.515501 	0.151646 	5.087541 	0.577810 	0.013911 	
4.195824 	0.146574 	5.252369 	0.581255 	0.138932 	
8.088833 	0.260490 	5.134250 	0.579657 	0.020128 	
5.859333 	0.480234 	5.181006 	0.590868 	0.031952 	
6.732863 	0.112407 	5.266878 	0.595919 	0.169394 	
3.143525 	0.481788 	5.200151 	0.560205 	0.063863 	
9.021700 	0.247952 	5.205074 	0.565985 	0.066012 	
8.986572 	0.164860 	5.200377 	0.581376 	0.068861 	
5.666108 	0.364538 	5.165293 	0.571377 	0.026267 	
6.285738 	0.165279 	5.178031 	0.595031 	0.036427 	
10.614275 	0.320359 	5.139214 	0.605516 	0.000000 	
3.681558 	0.260551 	5.062734 	0.555217 	0.009459 	
3.994932 	0.198056 	5.121744 	0.567923 	0.019578 	
7.347171 	0.164399 	5.113508 	0.610176 	0.016341 	
12.315699 	0.062527 	5.034687 	0.608058 	0.000000 	
8.905464 	0.621025 	5.165834 	0.594232 	0.036613 	
4.635301 	0.420885 	5.245301 	0.598748 	0.090928 	
4.516647 	0.261623 	5.131015 	0.577533 	0.019921 	
5.915216 	0.483652 	5.229915 	0.600277 	0.064246 	
3.021629 	0.192666 	5.227078 	0.582297 	0.107166 	
9.134727 	0.321016 	5.110708 	0.577069 	0.031939 	
10.494591 	0.047851 	5.068722 	0.583731 	0.000000 	
7.061905 	0.031537 	5.192783 	0.583953 	0.084730 	
11.864560 	0.072904 	5.123397 	0.585579 	0.000000 	
5.288126 	0.041341 	5.208111 	0.575710 	0.098058 	
13.370969 	0.229187 	5.118104 	0.593684 	0.000000 	
9.518111 	0.248722 	5.181853 	0.590758 	0.078073 	
4.241792 	0.010095 	5.195512 	0.556901 	0.097425 	
7.455188 	0.003247 	5.146375 	0.562739 	0.000000 	
3.615155 	0.174883 	5.152147 	0.570049 	0.042468 	
11.083014 	0.467984 	5.222932 	0.582104 	0.000000 	
4.513096 	0.354045 	5.132381 	0.585814 	0.030411 	
4.613999 	0.063884 	5.224642 	0.570932 	0.124417 	
5.609171 	0.253524 	5.205675 	0.577039 	0.069665 	
5.854852 	0.225628 	5.165230 	0.581124 	0.039635 	
6.024256 	0.263975 	5.176985 	0.570190 	0.045751 	
4.147511 	0.488421 	5.184177 	0.587930 	0.071988 	
3.298181 	0.013972 	5.203374 	0.575440 	0.121851 	
4.871246 	0.126883 	5.191099 	0.542699 	0.063590 	
10.798811 	0.146225 	5.162451 	0.582009 	0.000000 	
4.304376 	0.160234 	5.186109 	0.577169 	0.024982 	
2.114897 	0.221277 	5.159493 	0.574024 	0.036213 	
5.021281 	0.547820 	5.138675 	0.567098 	0.053696 	
1.472774 	0.003204 	5.197708 	0.575535 	0.000000 	
5.866506 	0.447697 	5.173974 	0.576150 	0.044728 	
5.003684 	0.056084 	5.194692 	0.560948 	0.027102 	
5.300352 	0.308263 	5.166746 	0.549760 	0.025422 	
4.673131 	0.153911 	5.206065 	0.552194 	0.035209 	
5.088874 	0.779028 	5.158760 	0.533100 	0.260455 	
7.851190 	0.096362 	5.111659 	0.567305 	0.042149 	
8.921457 	0.544443 	5.187062 	0.571729 	0.175036 	
9.125122 	0.194581 	5.097011 	0.581177 	0.047066 	
7.773212 	0.162257 	5.180304 	0.571170 	0.032261 	
