param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
0.077139 	-0.077662 	1.148822 	0.110324 	2.398574 	3.197029 	0.487782 	0.070523 	2.431574 	0.000000 	
0.077650 	0.313130 	1.380584 	0.099487 	1.242002 	2.237942 	0.182596 	0.161681 	3.328076 	0.000000 	
0.112760 	0.194336 	1.151980 	0.118043 	0.584349 	1.088195 	0.293776 	-0.040115 	1.667899 	0.000000 	
0.149802 	0.116045 	1.200565 	0.119044 	0.887824 	2.065421 	0.692040 	0.073143 	1.767197 	0.000000 	
0.065911 	0.044333 	0.826938 	0.097350 	1.219209 	2.243120 	0.128083 	0.029618 	2.384824 	0.000000 	
0.084749 	0.039581 	1.180892 	0.108922 	0.712667 	1.932773 	0.477309 	0.128119 	2.921809 	0.000000 	
0.024221 	0.439820 	1.270828 	0.111664 	2.828808 	4.107865 	-0.148012 	0.249927 	3.519933 	0.000000 	
0.102562 	0.045288 	1.220587 	0.109058 	0.868776 	3.361755 	-0.210830 	0.243833 	3.452661 	0.000000 	
0.089276 	0.040092 	1.683182 	0.126619 	0.958480 	3.283821 	0.088520 	0.222452 	3.426250 	0.680778 	
0.162823 	0.175545 	1.287015 	0.121198 	0.627856 	3.822830 	-0.222670 	0.185534 	2.386527 	0.000000 	
0.139614 	0.049102 	0.935878 	0.116840 	0.725735 	3.426944 	-0.056860 	0.118390 	2.613387 	0.000000 	
0.050485 	-0.111234 	1.249750 	0.121825 	0.763418 	3.408389 	0.225596 	0.036150 	3.301347 	0.000000 	
0.141070 	0.235597 	1.586622 	0.128416 	0.755766 	2.324514 	0.168794 	-0.020496 	1.789299 	0.000000 	
0.147995 	0.118426 	1.230076 	0.126864 	0.431575 	0.975161 	0.394008 	0.137596 	2.479100 	0.000000 	
0.070503 	0.047103 	1.579679 	0.108266 	1.542771 	4.426603 	0.054912 	0.183208 	3.004224 	0.146246 	
0.190920 	0.066682 	1.272100 	0.116785 	0.404799 	3.808011 	0.093952 	0.205850 	2.953403 	0.052087 	
0.122657 	0.028369 	1.431053 	0.129420 	0.904384 	4.128713 	0.213228 	0.196223 	2.902366 	0.022176 	
0.084248 	-0.010511 	1.968513 	0.122032 	1.373058 	2.460771 	0.035286 	0.188011 	3.013575 	0.000000 	
0.125718 	0.052984 	1.655953 	0.089008 	1.242325 	2.917177 	0.301041 	0.100634 	2.847612 	0.000000 	
0.101232 	0.161268 	1.067928 	0.099017 	0.711676 	3.459448 	-0.014266 	0.188648 	2.869568 	0.000000 	
0.120741 	0.246364 	1.387081 	0.117316 	0.339486 	2.385783 	0.093605 	0.131678 	3.207830 	0.000000 	
0.124270 	0.190945 	1.985791 	0.134043 	1.110699 	3.348503 	-0.239246 	0.092436 	1.868353 	0.000000 	
0.074351 	-0.033946 	1.777877 	0.171119 	1.219204 	2.705866 	-0.008282 	0.222189 	2.830972 	0.000000 	
0.116475 	0.041452 	1.591985 	0.108004 	1.607761 	3.934098 	0.274216 	0.014444 	2.412755 	0.268609 	
0.090724 	0.189806 	1.192412 	0.124822 	1.160256 	3.609612 	-0.087046 	0.132110 	2.333919 	0.000000 	
0.165034 	-0.049219 	1.777132 	0.120458 	1.347620 	2.023250 	-0.174136 	0.196221 	2.397081 	0.000000 	
0.218112 	-0.023794 	1.649633 	0.120069 	0.721293 	1.212073 	0.273442 	0.197404 	3.385314 	0.000000 	
0.126936 	0.189042 	1.650421 	0.139073 	1.025124 	3.435690 	-0.314352 	0.143888 	2.308813 	0.000000 	
0.221235 	-0.100361 	1.745371 	0.121830 	0.885897 	2.623955 	0.168334 	0.266455 	3.109659 	0.000000 	
0.176666 	0.277986 	0.942444 	0.146135 	0.331210 	3.017035 	0.295442 	-0.147448 	3.102155 	0.000000 	
0.089732 	0.144900 	1.087308 	0.105828 	1.357739 	4.123234 	0.046319 	0.133093 	2.433801 	0.095966 	
0.158666 	0.111800 	1.889366 	0.117171 	1.679270 	3.091586 	-0.112722 	0.229083 	2.584572 	0.000000 	
0.117309 	-0.038868 	2.051862 	0.098951 	0.886367 	2.835331 	0.268137 	0.116994 	3.141712 	0.000000 	
0.077474 	0.087889 	1.105317 	0.120433 	1.239697 	3.282575 	0.386576 	0.035427 	1.858632 	0.255061 	
0.131534 	-0.082579 	1.374974 	0.137307 	1.918124 	2.827062 	0.121990 	0.123604 	1.953449 	0.000000 	
0.099483 	0.002862 	1.203439 	0.072802 	1.497411 	4.530583 	-0.226722 	0.125538 	3.238879 	0.000000 	
0.094473 	-0.115450 	1.638909 	0.103709 	1.668958 	3.072449 	0.142495 	0.155524 	2.910993 	0.000000 	
0.121319 	0.151656 	1.084629 	0.137734 	0.891260 	3.719165 	-0.114464 	0.129626 	2.473546 	0.000000 	
0.074320 	-0.014571 	2.446947 	0.147134 	0.998199 	2.862496 	0.334732 	0.186732 	3.227951 	0.000000 	
0.144306 	-0.002475 	2.207822 	0.106249 	0.671269 	3.846784 	0.089918 	0.082738 	2.972644 	0.000000 	
0.101240 	-0.164868 	1.499680 	0.131461 	0.862788 	2.415613 	0.098655 	0.194463 	2.853452 	0.000000 	
0.108137 	0.059944 	1.404300 	0.104786 	1.567137 	2.935274 	-0.152758 	0.074797 	1.680452 	0.000000 	
0.102671 	0.097724 	1.867003 	0.114064 	0.922740 	2.986659 	0.182941 	0.154315 	2.882731 	0.000000 	
0.113191 	0.139761 	1.366804 	0.111168 	0.697527 	3.197011 	-0.220001 	0.076296 	1.981597 	0.000000 	
0.135885 	-0.043140 	1.667194 	0.114825 	0.787896 	3.620151 	0.143365 	0.020423 	1.531207 	0.000000 	
0.074266 	0.082767 	1.695266 	0.122283 	2.560488 	4.272418 	0.079748 	0.067957 	1.708666 	0.000000 	
0.065411 	-0.017807 	1.200963 	0.146708 	1.031342 	2.905087 	0.313815 	0.076188 	2.407910 	0.000000 	
0.115730 	-0.043150 	1.931777 	0.142297 	1.273822 	4.271205 	-0.020618 	0.163473 	2.916472 	0.000000 	
0.072227 	0.088441 	1.642917 	0.130382 	1.272036 	3.703684 	0.243424 	0.136695 	3.192162 	0.023236 	
0.088386 	0.015718 	1.657355 	0.107736 	0.787074 	3.451775 	0.262340 	0.167877 	3.126361 	0.026599 	
0.050204 	-0.083923 	2.342892 	0.119331 	1.207332 	2.719524 	0.122901 	0.075963 	3.119344 	0.000000 	
0.117193 	0.134247 	1.790230 	0.100604 	1.080713 	3.230640 	0.181263 	0.048456 	1.692352 	0.185569 	
0.104356 	0.078397 	1.408279 	0.101817 	1.043951 	3.711645 	0.076973 	0.197164 	3.025409 	0.025397 	
0.190665 	-0.144462 	1.692276 	0.123993 	0.892182 	2.853559 	0.327789 	0.157283 	2.512027 	0.000000 	
0.143690 	0.156610 	1.921115 	0.130836 	0.423930 	1.871797 	-0.269055 	0.148032 	2.176147 	0.000000 	
0.159467 	0.077129 	1.406967 	0.120132 	1.161011 	3.860564 	0.129859 	0.199120 	3.227210 	0.023373 	
0.097225 	-0.091503 	1.899775 	0.155918 	1.397750 	1.493905 	0.049060 	0.140587 	2.670102 	0.000000 	
0.145756 	0.107009 	2.014663 	0.145828 	0.523699 	3.730442 	0.029519 	0.076631 	1.810058 	0.000000 	
0.131755 	0.133632 	1.864537 	0.123099 	1.984320 	3.939284 	0.010169 	0.217281 	2.003048 	0.074015 	
0.044755 	0.219246 	0.780910 	0.123865 	2.528100 	2.583322 	0.418477 	0.225410 	3.200268 	0.000000 	
0.082217 	-0.038011 	0.890239 	0.110622 	1.820488 	2.588242 	0.375731 	0.108554 	2.373413 	0.000000 	
0.148900 	-0.012468 	0.947072 	0.117927 	1.281831 	3.380255 	-0.006541 	0.135635 	2.057849 	0.000000 	
0.211578 	0.177398 	1.785036 	0.094881 	1.233511 	3.724042 	-0.031121 	0.189340 	2.319153 	0.000000 	
0.152012 	-0.075943 	1.430490 	0.110951 	4.046013 	3.367326 	0.201079 	0.120427 	2.120623 	0.000000 	
0.087808 	0.190886 	2.305456 	0.141702 	0.642082 	3.673665 	0.189992 	0.136732 	3.312338 	0.000000 	
0.099696 	-0.077423 	1.675847 	0.122853 	1.114018 	3.354919 	0.246764 	0.166067 	3.079774 	0.000000 	
0.070056 	0.064774 	1.217749 	0.107694 	1.487231 	3.792090 	0.338363 	0.139066 	2.557791 	0.031881 	
0.120593 	0.019039 	1.092935 	0.121489 	1.022552 	3.592988 	0.210855 	0.016800 	1.347782 	0.047183 	
0.126569 	0.142693 	1.284120 	0.115932 	0.607981 	2.307931 	0.007620 	-0.006056 	1.392953 	0.000000 	
0.078889 	0.096973 	0.840856 	0.117701 	1.553435 	3.252155 	0.229869 	-0.071987 	1.684537 	0.000000 	
0.069308 	0.091587 	1.583844 	0.102871 	0.847642 	2.689120 	-0.028233 	0.019673 	2.026052 	0.000000 	
0.097047 	0.113230 	1.517724 	0.103333 	2.368720 	3.917149 	0.278508 	0.089173 	1.958945 	0.000000 	
0.153110 	-0.033643 	1.195926 	0.113854 	1.925945 	4.077920 	0.350374 	0.040683 	2.150297 	0.000000 	
