param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 dist 	  wgt 
2.043605 	4.739782 	27697.851211 	0.005025 	0.006913 	0.000010 	1.475258 	0.000000 	
0.774858 	6.157155 	27105.497149 	0.005481 	0.002530 	0.000008 	1.742589 	0.000000 	
0.697363 	13.376509 	21954.991889 	0.005007 	0.000984 	0.000004 	1.026676 	0.000000 	
0.508968 	8.178499 	26141.143973 	0.004582 	0.004104 	0.000012 	1.850333 	0.000000 	
1.005788 	0.527320 	26271.568147 	0.007407 	0.002054 	0.000006 	1.514621 	0.000000 	
2.179413 	8.415482 	30563.140790 	0.003524 	0.004334 	0.000004 	1.904078 	0.000000 	
1.360449 	5.530605 	25689.532033 	0.003061 	0.000065 	0.000008 	1.348841 	0.028931 	
1.340141 	-7.757319 	23742.280432 	0.001515 	0.000372 	0.000001 	1.110260 	0.000000 	
0.873683 	1.366059 	23138.276780 	0.001476 	0.004657 	0.000007 	1.122629 	0.008247 	
1.213899 	12.298672 	26531.307593 	0.003634 	0.000407 	0.000006 	1.410490 	0.000000 	
2.144247 	2.387318 	30430.936220 	0.001837 	0.005227 	0.000005 	1.824352 	0.000000 	
1.697356 	6.551577 	26980.796476 	0.002747 	0.003604 	0.000005 	1.471826 	0.049899 	
1.108275 	6.260915 	26352.058381 	0.003599 	0.001680 	0.000009 	1.509313 	0.034818 	
1.216653 	4.949016 	30130.170469 	0.009116 	0.001672 	0.000007 	1.947607 	0.000000 	
1.929184 	13.720908 	28200.195552 	0.001497 	0.003105 	0.000007 	1.501350 	0.000000 	
1.684969 	2.255908 	26769.300380 	0.002302 	0.003892 	0.000003 	1.446416 	0.052914 	
0.741373 	-0.620316 	26903.068088 	0.004692 	0.004337 	0.000005 	1.656470 	0.000000 	
1.761869 	13.338485 	19761.955346 	0.001585 	0.002593 	0.000013 	0.810432 	0.000000 	
3.560091 	6.463173 	30327.148245 	0.001233 	0.002831 	0.000010 	1.843807 	0.000000 	
1.483304 	0.846492 	27683.880619 	0.003625 	0.001651 	0.000009 	1.635170 	0.065042 	
1.598800 	0.698060 	27631.855360 	0.000623 	0.009384 	0.000001 	1.569580 	0.000000 	
1.185682 	3.795205 	22997.598832 	0.002444 	0.003836 	0.000005 	1.094179 	0.006275 	
0.986770 	-2.692381 	27581.804747 	0.003186 	0.006294 	0.000003 	1.755408 	0.000000 	
2.988697 	2.026142 	24039.898905 	0.006003 	0.001908 	0.000001 	1.052834 	0.000000 	
0.555473 	10.213843 	22616.879372 	0.000729 	0.001785 	0.000007 	1.153465 	0.000000 	
1.890230 	7.411165 	27028.860876 	0.004332 	0.004849 	0.000003 	1.571746 	0.060768 	
0.693995 	4.079587 	24174.891722 	0.001991 	0.003293 	0.000002 	1.295013 	0.013696 	
2.934544 	3.132330 	19333.523977 	0.002966 	0.004151 	0.000001 	0.801785 	0.000000 	
