param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 dist 	  wgt 
0.068401 	0.068002 	1.743811 	0.448588 	1.004251 	3.877128 	1.713131 	0.129730 	1.236762 	0.002000 	
0.344582 	0.258592 	1.469029 	0.146442 	1.652771 	4.358354 	1.430489 	0.279249 	3.353899 	0.002000 	
0.615139 	0.083476 	1.691164 	0.106460 	1.336238 	3.722208 	1.940925 	0.122053 	3.616963 	0.002000 	
0.215269 	0.014977 	1.514962 	0.730502 	0.737908 	4.385639 	1.105367 	0.210991 	2.677545 	0.002000 	
0.194323 	0.368749 	1.322317 	0.395992 	1.567114 	4.774903 	1.267274 	0.014472 	7.802887 	0.002000 	
0.304052 	0.033469 	1.138267 	0.468736 	1.654916 	4.040335 	0.209985 	0.288507 	9.431380 	0.002000 	
0.369952 	0.211584 	1.180098 	0.182162 	0.336207 	4.220876 	1.934353 	0.007737 	4.163035 	0.002000 	
0.331803 	0.246098 	1.272800 	0.490182 	0.757808 	5.858218 	1.173676 	0.028521 	8.356212 	0.002000 	
0.200059 	0.501556 	1.405753 	0.321241 	1.382991 	3.511399 	1.305086 	0.167144 	4.875401 	0.002000 	
0.054338 	0.038474 	1.411698 	0.564292 	1.283442 	5.573315 	0.023572 	0.074620 	1.088558 	0.002000 	
0.051784 	0.043505 	1.363585 	0.761417 	1.862715 	3.123315 	1.525559 	0.070299 	1.418561 	0.002000 	
0.211878 	0.173654 	1.476111 	0.393663 	1.233693 	4.622456 	0.259178 	0.049375 	8.262523 	0.002000 	
0.003427 	0.112344 	1.121431 	0.735343 	1.216889 	5.643534 	1.883032 	0.164820 	1.416448 	0.002000 	
0.172385 	0.170292 	1.537790 	0.858330 	1.543953 	3.211042 	0.141784 	0.075587 	8.728419 	0.002000 	
0.722342 	0.093626 	0.935864 	0.126196 	1.010289 	4.204910 	1.818212 	0.185591 	4.995100 	0.002000 	
0.032429 	0.029350 	1.861889 	0.120032 	0.561560 	5.185782 	1.549873 	0.065814 	1.304669 	0.002000 	
0.300202 	0.261252 	1.423432 	0.168808 	1.834245 	3.438884 	0.612216 	0.108361 	8.381858 	0.002000 	
0.249055 	0.138040 	1.660451 	0.466026 	1.069863 	4.149704 	1.948953 	0.219114 	3.445234 	0.002000 	
0.124414 	0.881777 	1.712047 	0.339260 	1.093702 	5.383304 	0.057881 	0.104312 	1.889409 	0.002000 	
0.135756 	0.339026 	1.024703 	0.488635 	1.272321 	3.381648 	0.101471 	0.009425 	2.972557 	0.002000 	
0.042059 	0.240869 	1.540350 	0.124425 	0.843181 	3.129569 	1.198538 	0.102116 	1.250054 	0.002000 	
0.046080 	0.341519 	1.960182 	0.575440 	0.930663 	5.429922 	1.343565 	0.162376 	0.956979 	0.002000 	
0.365950 	0.359496 	1.977042 	0.419588 	0.563212 	5.705466 	1.298141 	0.032285 	6.516105 	0.002000 	
0.319754 	0.114863 	1.129890 	0.471052 	0.898246 	5.825348 	1.909591 	0.082191 	8.730410 	0.002000 	
0.175491 	0.549457 	1.042135 	0.114413 	1.032653 	3.512372 	1.315080 	0.093419 	3.693934 	0.002000 	
0.157299 	0.720107 	0.981068 	0.193202 	1.994292 	3.645705 	1.522147 	0.075732 	9.189746 	0.002000 	
0.082200 	0.185941 	1.932745 	0.128193 	1.927069 	4.034836 	0.644082 	0.176539 	1.213795 	0.002000 	
0.400092 	0.141111 	1.670019 	0.104593 	1.875211 	3.450157 	1.411064 	0.292454 	4.386083 	0.002000 	
0.086329 	0.474849 	0.854638 	0.119223 	1.683627 	4.299142 	0.901585 	0.069076 	1.543132 	0.002000 	
0.104948 	0.174096 	1.535261 	0.536331 	1.941852 	5.654542 	0.837994 	0.154502 	3.040623 	0.002000 	
0.372732 	0.114428 	1.966947 	0.256089 	0.939474 	3.791069 	1.011962 	0.244180 	2.680331 	0.002000 	
0.096651 	0.379846 	0.804465 	0.227881 	0.539090 	4.971107 	0.429234 	0.022257 	0.892126 	0.002000 	
0.309661 	0.678714 	1.855955 	0.305141 	0.479663 	5.195221 	0.880501 	0.106008 	6.183284 	0.002000 	
0.036291 	0.124038 	1.126323 	0.378230 	0.769190 	5.583906 	1.220780 	0.109048 	1.099811 	0.002000 	
0.315517 	0.068555 	1.549480 	0.179231 	1.418218 	3.015972 	1.926678 	0.075859 	7.830594 	0.002000 	
0.315529 	0.500871 	1.449574 	0.155207 	0.458447 	5.919159 	1.960749 	0.001186 	3.649219 	0.002000 	
0.027490 	0.512646 	1.566538 	0.578174 	1.447132 	4.168264 	0.846186 	0.027228 	1.047367 	0.002000 	
1.217699 	0.304717 	1.995242 	0.106470 	0.248525 	3.199359 	1.579884 	0.107658 	6.008238 	0.002000 	
0.143546 	0.088296 	1.482941 	0.685674 	0.274452 	4.404879 	0.057290 	0.144206 	0.926798 	0.002000 	
0.575105 	0.081337 	1.186535 	0.182506 	0.210338 	4.405832 	0.759494 	0.206450 	2.945238 	0.002000 	
0.230109 	0.176506 	0.872212 	0.170090 	0.958060 	3.462689 	1.928261 	0.033568 	3.178752 	0.002000 	
0.184485 	0.304856 	1.020985 	0.159501 	1.769092 	3.294463 	1.890934 	0.055335 	4.242082 	0.002000 	
0.046146 	0.089035 	1.672167 	1.090528 	1.251159 	3.197375 	0.110331 	0.029533 	0.988639 	0.002000 	
0.138278 	0.184561 	1.603404 	0.301198 	0.956515 	4.938786 	1.584795 	0.108508 	1.337037 	0.002000 	
0.694176 	0.208721 	0.861386 	0.129595 	0.767998 	5.953438 	1.272071 	0.228922 	9.152557 	0.002000 	
0.287724 	0.209538 	1.710401 	0.124285 	1.886200 	3.771595 	1.774305 	0.129376 	6.882013 	0.002000 	
0.103541 	0.269174 	1.987827 	0.472719 	1.923288 	4.629125 	1.616592 	0.252815 	2.792496 	0.002000 	
0.218149 	0.166964 	1.272068 	0.247170 	1.521870 	4.321904 	0.899912 	0.254761 	4.593668 	0.002000 	
0.061429 	0.593195 	1.464158 	0.352394 	1.116039 	4.178828 	1.647736 	0.086338 	1.015164 	0.002000 	
0.089917 	0.260400 	1.866204 	0.417581 	0.679392 	4.309463 	1.297588 	0.193361 	1.177130 	0.002000 	
0.162289 	0.201329 	1.068346 	0.803760 	1.424312 	4.460905 	0.940056 	0.172302 	3.886117 	0.002000 	
0.274951 	0.148245 	1.652005 	0.376845 	0.580049 	5.127105 	1.810921 	0.167507 	2.145550 	0.002000 	
0.507547 	0.128411 	1.550619 	0.118782 	0.394945 	5.424431 	0.810952 	0.093682 	7.795703 	0.002000 	
0.980213 	0.150664 	1.718836 	0.140513 	0.835334 	4.140390 	0.301122 	0.211888 	8.472781 	0.002000 	
