param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 dist 	  wgt 
0.228215 	0.906126 	1.397515 	1.413398 	0.026243 	0.015219 	0.006338 	0.005213 	0.327624 	0.885823 	0.010000 	
0.153314 	0.948436 	1.047313 	0.297024 	0.021408 	0.018451 	0.004717 	0.008929 	0.378732 	0.652036 	0.010000 	
0.227035 	0.927782 	0.884720 	0.532984 	0.069660 	0.019847 	0.003072 	0.006480 	0.343626 	0.723723 	0.010000 	
0.244390 	0.909938 	0.750845 	0.735548 	0.064243 	0.020666 	0.003214 	0.005448 	0.346906 	0.871444 	0.000000 	
0.179898 	0.942052 	1.265678 	1.049057 	0.080868 	0.022762 	0.001459 	0.004181 	0.441364 	0.761431 	0.167449 	
0.155104 	1.003526 	1.019454 	0.817851 	0.128295 	0.019469 	0.003712 	0.006523 	0.377931 	0.733021 	0.000000 	
0.155551 	0.936179 	0.809001 	1.087679 	-0.002299 	0.025786 	0.011404 	0.003545 	0.389463 	0.909992 	0.000000 	
0.147030 	0.866861 	1.537382 	0.534419 	0.077929 	0.019669 	0.008140 	-0.000876 	0.398119 	0.617407 	0.000000 	
0.159385 	0.918591 	0.680508 	0.078359 	0.158757 	0.009600 	0.000245 	0.002947 	0.463586 	0.685599 	0.000000 	
0.238548 	0.956037 	1.071109 	2.062870 	0.021320 	0.023786 	0.010915 	0.006758 	0.495551 	1.300145 	0.000000 	
0.196843 	0.944699 	2.487016 	0.313764 	0.094760 	0.022165 	-0.001572 	0.005297 	0.317234 	0.545296 	0.000000 	
0.234926 	1.105126 	0.646834 	1.698676 	0.085103 	0.022510 	-0.001581 	0.007783 	0.456281 	2.159428 	0.000000 	
0.170978 	1.029158 	1.706481 	0.528513 	0.078208 	0.019135 	0.008379 	0.008169 	0.447732 	0.748693 	0.184831 	
0.220022 	1.083016 	0.822235 	1.423438 	0.049736 	0.018812 	0.002761 	0.008171 	0.406094 	1.436484 	0.299250 	
0.307612 	0.834455 	0.630577 	0.927372 	0.085492 	0.022026 	0.006925 	0.006048 	0.480620 	1.163879 	0.000000 	
0.161998 	1.118683 	1.284453 	0.803222 	-0.031079 	0.024976 	0.006822 	-0.000559 	0.373405 	0.892856 	0.000000 	
0.248203 	0.915519 	0.897706 	0.767393 	0.118458 	0.019402 	-0.001404 	0.002021 	0.373622 	0.855838 	0.000000 	
0.257127 	0.976093 	1.751208 	1.373393 	-0.039665 	0.009886 	0.003656 	-0.010790 	0.353870 	0.968399 	0.000000 	
0.063551 	0.942447 	1.391691 	2.151539 	0.098115 	0.017362 	0.008625 	0.015393 	0.403274 	0.761279 	0.000000 	
0.247176 	0.940984 	1.722439 	0.483479 	-0.023115 	0.013320 	0.004050 	0.008740 	0.458737 	0.735120 	0.000000 	
0.289270 	1.010577 	1.081573 	1.613738 	0.068462 	0.011373 	-0.005040 	-0.001688 	0.433576 	1.343883 	0.000000 	
0.286421 	0.923377 	0.799628 	1.506941 	0.017171 	0.020741 	0.005695 	0.007972 	0.514661 	1.347980 	0.000000 	
0.091310 	0.961018 	0.603822 	1.175616 	-0.005464 	0.023510 	-0.000010 	0.009215 	0.488589 	0.898641 	0.000000 	
0.175558 	1.155581 	1.889873 	1.356635 	0.036581 	0.026565 	-0.000469 	0.002006 	0.412632 	0.964821 	0.000000 	
0.122418 	0.902839 	1.122963 	0.459244 	-0.044070 	0.012818 	0.003668 	-0.001377 	0.436223 	0.707555 	0.000000 	
0.188832 	0.939879 	1.700578 	-0.008309 	0.063615 	0.012650 	0.015375 	0.001660 	0.296939 	1.205419 	0.000000 	
0.112617 	0.916595 	1.605320 	1.445230 	0.047346 	0.022099 	0.004950 	0.002908 	0.503454 	0.724691 	0.000000 	
0.242466 	1.082445 	1.331492 	1.280000 	-0.055090 	0.024997 	0.006023 	0.007806 	0.422176 	1.164452 	0.000000 	
0.208045 	0.957190 	1.305528 	0.689318 	-0.046756 	0.024081 	0.009773 	0.006584 	0.313787 	0.744148 	0.000000 	
0.160218 	0.975813 	1.189261 	0.794307 	0.174142 	0.017521 	0.007871 	0.002930 	0.433374 	0.701833 	0.000000 	
0.213536 	1.070740 	1.999846 	1.958281 	-0.030066 	0.030014 	0.012617 	0.009115 	0.463828 	1.070131 	0.000000 	
0.167798 	0.837016 	1.446975 	1.373882 	0.096936 	0.019840 	0.013550 	0.010831 	0.282215 	0.659971 	0.000000 	
0.211992 	0.758813 	2.244296 	0.499845 	-0.009890 	0.017249 	0.004937 	0.003738 	0.483114 	0.661344 	0.000000 	
0.190697 	1.149096 	1.451345 	0.803363 	0.084531 	0.024676 	-0.000781 	0.001424 	0.301049 	0.837581 	0.000000 	
0.227365 	0.965288 	1.788928 	0.223854 	0.032000 	0.009819 	-0.001731 	0.005473 	0.369368 	0.616152 	0.000000 	
0.242977 	1.034497 	1.760443 	1.321949 	0.016894 	0.025266 	0.012736 	0.004947 	0.334800 	0.941496 	0.000000 	
